symbol,signal_date,entry_date,entry_price,status,exit_date,exit_price,quantity,net_pnl,net_return,signal_score,original_rank,model_version,monthly_score,weekly_score,daily_score,reason
EXPD,2025-03-27,2025-03-28,117.89863760126953,closed,2025-04-03,111.315205,84.0,-572.2623012851458,-0.05778392848703644,42.9688,1,cr056-policy-2.0.0-candidate,31.25,46.875,70.3125,stop
BIDU,2025-03-27,2025-03-28,95.22,skipped,,,,,,40.625,2,cr056-policy-2.0.0-candidate,18.75,75.0,37.5,cash_or_whole_share_insufficient
JKHY,2025-03-31,2025-04-01,178.96789037061185,skipped,,,,,,45.5729,1,cr056-policy-2.0.0-candidate,50.0,39.0625,45.3125,cash_or_whole_share_insufficient
TAP,2025-03-31,2025-04-01,58.03846734160679,skipped,,,,,,41.6667,2,cr056-policy-2.0.0-candidate,25.0,56.25,62.5,cash_or_whole_share_insufficient
ABT,2025-03-31,2025-04-01,128.31405780241477,skipped,,,,,,26.5625,3,cr056-policy-2.0.0-candidate,25.0,23.4375,37.5,cash_or_whole_share_insufficient
KMB,2025-04-02,2025-04-03,136.94472180140477,skipped,,,,,,34.375,1,cr056-policy-2.0.0-candidate,37.5,18.75,56.25,cash_or_whole_share_insufficient
O,2025-04-15,2025-04-16,53.02184596577017,closed,2025-06-12,54.4248,188.0,243.5553889936433,0.02443346444596466,38.151,1,cr056-policy-2.0.0-candidate,32.8125,43.359375,43.75,time_40d
ASND,2025-04-16,2025-04-17,158.76,closed,2025-06-13,170.8,62.0,726.0472800000014,0.0737619047619049,20.7031,1,cr056-policy-2.0.0-candidate,12.5,24.609375,37.5,time_40d
LKQ,2025-04-17,2025-04-21,39.37769487988353,closed,2025-04-24,37.513125,253.0,-491.189557040143,-0.04930356400204687,48.4375,1,cr056-policy-2.0.0-candidate,43.75,51.5625,56.25,stop
VZ,2025-04-17,2025-04-21,40.71547915210808,closed,2025-06-16,39.1495,245.0,-403.23181215874547,-0.040423056919249606,31.25,2,cr056-policy-2.0.0-candidate,25.0,37.5,37.5,time_40d
VRTX,2025-04-17,2025-04-21,488.0,closed,2025-05-06,463.86733,20.0,-501.69074660000103,-0.05140274043032798,23.8281,3,cr056-policy-2.0.0-candidate,12.5,24.609375,56.25,stop
GSK,2025-04-22,2025-04-23,35.03530434782609,closed,2025-06-02,39.693093,285.0,1306.1721726254318,0.13081262857961876,38.5417,1,cr056-policy-2.0.0-candidate,37.5,28.125,62.5,target
VALE,2025-04-23,2025-04-24,8.659427794871796,closed,2025-06-20,8.0798,1154.0,-688.2075441573347,-0.06886910276217588,26.0417,1,cr056-policy-2.0.0-candidate,12.5,28.125,62.5,time_40d
CWEN,2025-04-28,2025-04-29,27.663078282828284,closed,2025-06-25,30.0474,361.0,839.9066572388886,0.0841052906369108,32.2917,1,cr056-policy-2.0.0-candidate,37.5,28.125,25.0,time_40d
HSY,2025-04-30,2025-05-01,158.87376474002275,closed,2025-05-16,151.13778,62.0,-498.8517696552919,-0.050643958100502304,28.125,1,cr056-policy-2.0.0-candidate,25.0,9.375,75.0,stop
CVS,2025-05-08,2025-05-09,64.93817283858445,closed,2025-05-12,60.72096,153.0,-664.4594116277237,-0.06687702751073737,35.4167,1,cr056-policy-2.0.0-candidate,43.75,9.375,62.5,stop
MOH,2025-05-12,2025-05-13,322.03,closed,2025-05-15,306.17,31.0,-511.13419999999803,-0.05120081979939738,42.7083,1,cr056-policy-2.0.0-candidate,43.75,37.5,50.0,stop_gap
HRL,2025-05-15,2025-05-16,28.360294267933178,closed,2025-07-15,27.7582,352.0,-231.69089229479087,-0.023208953898103513,31.25,1,cr056-policy-2.0.0-candidate,25.0,28.125,56.25,time_40d
SJM,2025-05-19,2025-05-20,108.19235028273161,closed,2025-06-10,99.85232,92.0,-786.4228956773197,-0.07900812701338172,33.3333,1,cr056-policy-2.0.0-candidate,25.0,37.5,50.0,stop_gap
EG,2025-05-20,2025-05-21,336.93195372507563,skipped,,,,,,39.5833,1,cr056-policy-2.0.0-candidate,31.25,37.5,68.75,cash_or_whole_share_insufficient
AWK,2025-05-23,2025-05-27,139.02027371803828,skipped,,,,,,40.1042,1,cr056-policy-2.0.0-candidate,37.5,32.8125,62.5,cash_or_whole_share_insufficient
PLPC,2025-05-23,2025-05-27,138.24937043963712,skipped,,,,,,37.5,2,cr056-policy-2.0.0-candidate,12.5,56.25,75.0,cash_or_whole_share_insufficient
SCCO,2025-06-04,2025-06-05,89.36442453584989,closed,2025-08-01,84.6636,111.0,-541.1086342028157,-0.05455025963301656,35.4167,1,cr056-policy-2.0.0-candidate,37.5,25.0,50.0,time_40d
KNSL,2025-06-13,2025-06-16,477.5073465279402,closed,2025-07-30,442.306605,20.0,-722.4111095893633,-0.07564397855259941,25.5208,1,cr056-policy-2.0.0-candidate,6.25,32.8125,68.75,stop
CACI,2025-06-16,2025-06-17,445.38,closed,2025-07-02,490.37324,22.0,969.2647087199989,0.09892111626027202,41.1458,1,cr056-policy-2.0.0-candidate,56.25,14.0625,50.0,target
PAGS,2025-06-16,2025-06-17,8.741127537796975,closed,2025-07-18,7.92281,1144.0,-955.2188077829794,-0.09552331455230231,32.1615,2,cr056-policy-2.0.0-candidate,25.0,52.734375,12.5,stop
LDOS,2025-06-17,2025-06-18,147.8964654870239,closed,2025-08-05,164.957496,67.0,1122.1278289497682,0.11324257477240741,32.2917,1,cr056-policy-2.0.0-candidate,25.0,28.125,62.5,target
SBAC,2025-06-20,2025-06-23,223.40367183495644,closed,2025-08-05,210.84262,44.0,-571.7931175788202,-0.05816958163692083,38.5417,1,cr056-policy-2.0.0-candidate,43.75,18.75,62.5,stop
WYNN,2025-06-23,2025-06-24,89.64343121908321,closed,2025-07-03,104.284274,111.0,1603.6075734024462,0.16115977355206668,39.5833,1,cr056-policy-2.0.0-candidate,25.0,50.0,62.5,target
CHTR,2025-06-25,2025-06-26,398.03,closed,2025-07-25,329.0,25.0,-1743.9257499999999,-0.17525570936864054,37.5,1,cr056-policy-2.0.0-candidate,43.75,18.75,56.25,stop_gap
CSL,2025-06-26,2025-06-27,372.74128255329384,skipped,,,,,,35.2865,1,cr056-policy-2.0.0-candidate,37.5,15.234375,68.75,cash_or_whole_share_insufficient
UHS,2025-06-27,2025-06-30,176.91243826662986,skipped,,,,,,37.3698,1,cr056-policy-2.0.0-candidate,37.5,24.609375,62.5,cash_or_whole_share_insufficient
CDNS,2025-06-27,2025-06-30,306.12,skipped,,,,,,33.8542,2,cr056-policy-2.0.0-candidate,31.25,23.4375,62.5,cash_or_whole_share_insufficient
LYFT,2025-06-30,2025-07-01,15.72,skipped,,,,,,37.5,1,cr056-policy-2.0.0-candidate,43.75,25.0,43.75,cash_or_whole_share_insufficient
NOC,2025-07-01,2025-07-02,485.38750290639405,skipped,,,,,,37.2396,1,cr056-policy-2.0.0-candidate,37.5,30.46875,50.0,cash_or_whole_share_insufficient
BNTX,2025-07-03,2025-07-07,110.5,closed,2025-08-29,100.685085,90.0,-902.3490076500009,-0.09073393742081456,55.9896,1,cr056-policy-2.0.0-candidate,57.8125,56.25,50.0,stop
BP,2025-07-09,2025-07-10,29.144803648477158,closed,2025-08-25,33.070851,343.0,1325.2942720279061,0.1325736053492421,33.3333,1,cr056-policy-2.0.0-candidate,25.0,31.25,62.5,target
ETSY,2025-07-10,2025-07-11,58.01,skipped,,,,,,46.875,1,cr056-policy-2.0.0-candidate,53.125,42.1875,37.5,cash_or_whole_share_insufficient
FRO,2025-07-10,2025-07-11,16.900950524109017,skipped,,,,,,20.8333,2,cr056-policy-2.0.0-candidate,18.75,9.375,50.0,cash_or_whole_share_insufficient
CF,2025-07-14,2025-07-15,94.8753085088634,skipped,,,,,,28.6458,1,cr056-policy-2.0.0-candidate,43.75,4.6875,31.25,cash_or_whole_share_insufficient
TNK,2025-07-14,2025-07-15,42.54626368869445,skipped,,,,,,27.0833,2,cr056-policy-2.0.0-candidate,25.0,18.75,50.0,cash_or_whole_share_insufficient
HL,2025-07-15,2025-07-16,6.1223629568106315,closed,2025-08-01,5.6411,1633.0,-805.1121434802338,-0.08052878002258765,33.3333,1,cr056-policy-2.0.0-candidate,31.25,25.0,56.25,stop
ACAD,2025-07-17,2025-07-18,22.72,skipped,,,,,,40.625,1,cr056-policy-2.0.0-candidate,56.25,18.75,37.5,cash_or_whole_share_insufficient
MZTI,2025-07-18,2025-07-21,174.1728576899595,closed,2025-09-15,178.4801,57.0,225.4115930839804,0.02270496910253372,43.75,1,cr056-policy-2.0.0-candidate,25.0,62.5,62.5,time_40d
CDW,2025-07-23,2025-07-24,175.5914876071448,skipped,,,,,,39.5833,1,cr056-policy-2.0.0-candidate,37.5,37.5,50.0,cash_or_whole_share_insufficient
SAIC,2025-07-23,2025-07-24,114.33488250282633,skipped,,,,,,36.4583,2,cr056-policy-2.0.0-candidate,18.75,50.0,62.5,cash_or_whole_share_insufficient
BG,2025-07-23,2025-07-24,75.29192460678539,skipped,,,,,,21.224,3,cr056-policy-2.0.0-candidate,12.5,19.921875,50.0,cash_or_whole_share_insufficient
MOD,2025-07-24,2025-07-25,99.6,skipped,,,,,,27.6042,1,cr056-policy-2.0.0-candidate,18.75,23.4375,62.5,cash_or_whole_share_insufficient
CNQ,2025-07-28,2025-07-29,30.432610766366743,closed,2025-08-11,28.61058,328.0,-616.9922579396609,-0.06181112660935492,23.9583,1,cr056-policy-2.0.0-candidate,12.5,28.125,50.0,stop
ELF,2025-07-28,2025-07-29,121.0,skipped,,,,,,17.7083,2,cr056-policy-2.0.0-candidate,18.75,9.375,31.25,cash_or_whole_share_insufficient
FSLR,2025-08-01,2025-08-04,184.295,closed,2025-08-18,220.40647,54.0,1928.1655006200017,0.19374789619902894,32.0312,1,cr056-policy-2.0.0-candidate,39.0625,18.75,37.5,target
ENS,2025-08-08,2025-08-11,95.24127433693259,closed,2025-09-23,112.347303,104.0,1757.437768915969,0.17742769826818253,41.6667,1,cr056-policy-2.0.0-candidate,25.0,50.0,75.0,target
MITK,2025-08-08,2025-08-11,9.94,closed,2025-10-06,9.65,1006.0,-311.4475399999998,-0.031145875251509032,31.25,2,cr056-policy-2.0.0-candidate,6.25,50.0,68.75,time_40d
WING,2025-08-12,2025-08-13,338.9586916814986,closed,2025-08-21,312.947005,29.0,-773.244178967222,-0.07866325022057385,31.7708,1,cr056-policy-2.0.0-candidate,37.5,14.0625,50.0,stop
LFUS,2025-08-12,2025-08-13,253.8536157846784,closed,2025-10-08,256.602,39.0,87.27921538193942,0.008815823216144951,30.7292,2,cr056-policy-2.0.0-candidate,18.75,32.8125,62.5,time_40d
AN,2025-08-12,2025-08-13,206.82,skipped,,,,,,16.9271,3,cr056-policy-2.0.0-candidate,12.5,9.375,45.3125,cash_or_whole_share_insufficient
ARW,2025-08-13,2025-08-14,125.96,skipped,,,,,,42.7083,1,cr056-policy-2.0.0-candidate,50.0,28.125,50.0,cash_or_whole_share_insufficient
NEE,2025-08-13,2025-08-14,69.77997895902547,skipped,,,,,,36.0677,2,cr056-policy-2.0.0-candidate,32.8125,33.984375,50.0,cash_or_whole_share_insufficient
ALLY,2025-08-13,2025-08-14,37.41796091540241,skipped,,,,,,27.9948,3,cr056-policy-2.0.0-candidate,18.75,24.609375,62.5,cash_or_whole_share_insufficient
DBRG,2025-08-13,2025-08-14,11.318438502673796,skipped,,,,,,20.8333,4,cr056-policy-2.0.0-candidate,12.5,18.75,50.0,cash_or_whole_share_insufficient
TXT,2025-08-14,2025-08-15,80.50707045252884,skipped,,,,,,36.9792,1,cr056-policy-2.0.0-candidate,31.25,32.8125,62.5,cash_or_whole_share_insufficient
AMAT,2025-08-14,2025-08-15,161.34265795004947,skipped,,,,,,25.0,2,cr056-policy-2.0.0-candidate,12.5,18.75,75.0,original_plan_not_executable
EOG,2025-08-14,2025-08-15,115.79471663164972,skipped,,,,,,21.875,3,cr056-policy-2.0.0-candidate,6.25,37.5,37.5,cash_or_whole_share_insufficient
SEDG,2025-08-15,2025-08-18,31.145,skipped,,,,,,36.4583,1,cr056-policy-2.0.0-candidate,37.5,37.5,31.25,cash_or_whole_share_insufficient
DD,2025-08-18,2025-08-19,90.57193318642574,closed,2025-10-06,101.30822,110.0,1159.8847326426635,0.11642024509606216,36.9792,1,cr056-policy-2.0.0-candidate,25.0,42.1875,62.5,target
HST,2025-08-18,2025-08-19,14.672509609423434,closed,2025-09-04,16.257389,681.0,1058.2396040296237,0.10590890947306768,35.9375,2,cr056-policy-2.0.0-candidate,25.0,42.1875,56.25,target
CSIQ,2025-08-18,2025-08-19,12.75,skipped,,,,,,35.4167,3,cr056-policy-2.0.0-candidate,25.0,37.5,62.5,cash_or_whole_share_insufficient
WTFC,2025-08-18,2025-08-19,126.2137582994686,skipped,,,,,,26.0417,4,cr056-policy-2.0.0-candidate,18.75,18.75,62.5,cash_or_whole_share_insufficient
PSX,2025-08-18,2025-08-19,118.05413166080052,skipped,,,,,,24.7396,5,cr056-policy-2.0.0-candidate,20.3125,18.75,50.0,cash_or_whole_share_insufficient
TKR,2025-08-19,2025-08-20,75.530991616135,skipped,,,,,,43.2292,1,cr056-policy-2.0.0-candidate,37.5,42.1875,62.5,cash_or_whole_share_insufficient
MGM,2025-08-19,2025-08-20,36.41,skipped,,,,,,31.7708,2,cr056-policy-2.0.0-candidate,25.0,32.8125,50.0,cash_or_whole_share_insufficient
ZION,2025-08-20,2025-08-21,51.75043517757009,skipped,,,,,,35.4167,1,cr056-policy-2.0.0-candidate,37.5,18.75,62.5,cash_or_whole_share_insufficient
MCHP,2025-08-20,2025-08-21,64.28886361573375,skipped,,,,,,31.25,2,cr056-policy-2.0.0-candidate,37.5,18.75,37.5,cash_or_whole_share_insufficient
NCNO,2025-08-20,2025-08-21,27.62,skipped,,,,,,28.125,3,cr056-policy-2.0.0-candidate,18.75,18.75,75.0,cash_or_whole_share_insufficient
RIOT,2025-08-21,2025-08-22,12.19,skipped,,,,,,42.1875,1,cr056-policy-2.0.0-candidate,37.5,42.1875,56.25,cash_or_whole_share_insufficient
AGIO,2025-08-21,2025-08-22,38.25,skipped,,,,,,26.0417,2,cr056-policy-2.0.0-candidate,31.25,18.75,25.0,cash_or_whole_share_insufficient
OVV,2025-08-22,2025-08-25,39.8169203685742,skipped,,,,,,35.4167,1,cr056-policy-2.0.0-candidate,18.75,50.0,56.25,cash_or_whole_share_insufficient
MARA,2025-08-22,2025-08-25,15.85,skipped,,,,,,35.4167,2,cr056-policy-2.0.0-candidate,18.75,37.5,81.25,cash_or_whole_share_insufficient
PR,2025-08-22,2025-08-25,13.271893992932862,skipped,,,,,,34.375,3,cr056-policy-2.0.0-candidate,6.25,62.5,62.5,cash_or_whole_share_insufficient
VSH,2025-08-22,2025-08-25,15.156842352941176,skipped,,,,,,32.8125,4,cr056-policy-2.0.0-candidate,43.75,14.0625,37.5,cash_or_whole_share_insufficient
H,2025-08-22,2025-08-25,143.13377691600678,skipped,,,,,,27.0833,5,cr056-policy-2.0.0-candidate,25.0,18.75,50.0,cash_or_whole_share_insufficient
ON,2025-08-22,2025-08-25,51.64,skipped,,,,,,25.5208,6,cr056-policy-2.0.0-candidate,12.5,32.8125,50.0,cash_or_whole_share_insufficient
MTDR,2025-08-22,2025-08-25,46.79731160153877,skipped,,,,,,21.875,7,cr056-policy-2.0.0-candidate,12.5,18.75,56.25,cash_or_whole_share_insufficient
SPHR,2025-08-22,2025-08-25,42.48,skipped,,,,,,17.4479,8,cr056-policy-2.0.0-candidate,20.3125,9.375,25.0,cash_or_whole_share_insufficient
MXL,2025-08-25,2025-08-26,16.69,closed,2025-10-10,15.021,599.0,-1018.7258890000015,-0.10190000000000014,26.5625,1,cr056-policy-2.0.0-candidate,31.25,14.0625,37.5,stop
CRL,2025-08-25,2025-08-26,164.7,closed,2025-09-08,154.319805,60.0,-641.9528883000002,-0.06496183852459018,26.0417,2,cr056-policy-2.0.0-candidate,25.0,9.375,62.5,stop
TEX,2025-08-25,2025-08-26,50.58575047324705,skipped,,,,,,26.0417,3,cr056-policy-2.0.0-candidate,18.75,18.75,62.5,cash_or_whole_share_insufficient
ORIC,2025-08-26,2025-08-27,9.9,skipped,,,,,,33.8542,1,cr056-policy-2.0.0-candidate,37.5,14.0625,62.5,cash_or_whole_share_insufficient
PBR,2025-08-26,2025-08-27,11.249925409836067,skipped,,,,,,29.0365,2,cr056-policy-2.0.0-candidate,25.0,24.609375,50.0,cash_or_whole_share_insufficient
ASX,2025-08-26,2025-08-27,9.870698003992016,skipped,,,,,,25.5208,3,cr056-policy-2.0.0-candidate,12.5,32.8125,50.0,cash_or_whole_share_insufficient
AMKR,2025-08-27,2025-08-28,24.379798377939984,skipped,,,,,,51.0417,1,cr056-policy-2.0.0-candidate,43.75,62.5,50.0,cash_or_whole_share_insufficient
WBD,2025-08-27,2025-08-28,12.19,skipped,,,,,,46.3542,2,cr056-policy-2.0.0-candidate,50.0,32.8125,62.5,cash_or_whole_share_insufficient
FLS,2025-08-27,2025-08-28,54.48630732821638,skipped,,,,,,28.6458,3,cr056-policy-2.0.0-candidate,25.0,23.4375,50.0,cash_or_whole_share_insufficient
ZBRA,2025-08-28,2025-08-29,321.66,skipped,,,,,,34.6354,1,cr056-policy-2.0.0-candidate,32.8125,23.4375,62.5,cash_or_whole_share_insufficient
EMR,2025-08-28,2025-08-29,131.65220254545454,skipped,,,,,,22.3958,2,cr056-policy-2.0.0-candidate,12.5,23.4375,50.0,cash_or_whole_share_insufficient
DDOG,2025-08-28,2025-08-29,139.96,skipped,,,,,,19.2708,3,cr056-policy-2.0.0-candidate,18.75,4.6875,50.0,cash_or_whole_share_insufficient
BEPC,2025-08-28,2025-08-29,32.98574053412463,skipped,,,,,,17.7083,4,cr056-policy-2.0.0-candidate,18.75,0.0,50.0,cash_or_whole_share_insufficient
BURL,2025-08-29,2025-09-02,287.85,skipped,,,,,,22.9167,1,cr056-policy-2.0.0-candidate,12.5,18.75,62.5,cash_or_whole_share_insufficient
AIR,2025-09-02,2025-09-03,76.13,skipped,,,,,,22.3958,1,cr056-policy-2.0.0-candidate,18.75,14.0625,50.0,cash_or_whole_share_insufficient
XPO,2025-09-08,2025-09-09,132.14,closed,2025-09-26,123.16446,75.0,-692.3133344999973,-0.06985654956863906,23.1771,1,cr056-policy-2.0.0-candidate,12.5,25.78125,50.0,stop
CRSP,2025-09-11,2025-09-12,56.1,closed,2025-09-30,64.97572,178.0,1558.3266818399984,0.15605426524064153,26.3021,1,cr056-policy-2.0.0-candidate,25.0,18.75,45.3125,target
FDX,2025-09-12,2025-09-15,183.92391264123356,closed,2025-11-07,208.0297,54.0,1280.5470222907609,0.12893284731486754,43.2292,1,cr056-policy-2.0.0-candidate,43.75,32.8125,62.5,time_40d
FCNCA,2025-09-12,2025-09-15,1965.1166123871355,skipped,,,,,,42.7083,2,cr056-policy-2.0.0-candidate,43.75,43.75,37.5,cash_or_whole_share_insufficient
TTEK,2025-09-15,2025-09-16,35.90519879352893,closed,2025-09-23,34.084385,278.0,-525.643338895645,-0.05266099174649986,46.3542,1,cr056-policy-2.0.0-candidate,53.125,28.125,62.5,stop
ILMN,2025-09-16,2025-09-17,101.76,skipped,,,,,,26.0417,1,cr056-policy-2.0.0-candidate,12.5,28.125,62.5,cash_or_whole_share_insufficient
VICR,2025-09-17,2025-09-18,53.3,skipped,,,,,,36.4583,1,cr056-policy-2.0.0-candidate,56.25,0.0,50.0,cash_or_whole_share_insufficient
ORKA,2025-09-18,2025-09-19,16.62,skipped,,,,,,17.7083,1,cr056-policy-2.0.0-candidate,12.5,9.375,50.0,cash_or_whole_share_insufficient
GBX,2025-09-18,2025-09-19,45.72954781195841,skipped,,,,,,16.6667,2,cr056-policy-2.0.0-candidate,12.5,0.0,62.5,cash_or_whole_share_insufficient
ROCK,2025-09-19,2025-09-22,61.38,skipped,,,,,,49.8698,1,cr056-policy-2.0.0-candidate,50.0,33.984375,81.25,cash_or_whole_share_insufficient
MANH,2025-09-19,2025-09-22,214.94,skipped,,,,,,41.6667,2,cr056-policy-2.0.0-candidate,50.0,18.75,62.5,cash_or_whole_share_insufficient
KSS,2025-09-19,2025-09-22,16.954309058614566,skipped,,,,,,36.4583,3,cr056-policy-2.0.0-candidate,31.25,43.75,37.5,cash_or_whole_share_insufficient
IDYA,2025-09-19,2025-09-22,25.87,skipped,,,,,,34.8958,4,cr056-policy-2.0.0-candidate,37.5,23.4375,50.0,cash_or_whole_share_insufficient
ALB,2025-09-19,2025-09-22,79.796019656631,skipped,,,,,,29.0365,5,cr056-policy-2.0.0-candidate,31.25,24.609375,31.25,cash_or_whole_share_insufficient
XYZ,2025-09-19,2025-09-22,76.5,skipped,,,,,,21.875,6,cr056-policy-2.0.0-candidate,18.75,18.75,37.5,cash_or_whole_share_insufficient
RACE,2025-09-23,2025-09-24,474.0608036995422,closed,2025-10-09,414.399117,21.0,-1271.5530790250777,-0.1277265408734746,27.0833,1,cr056-policy-2.0.0-candidate,12.5,31.25,62.5,stop_gap
