symbol,signal_date,entry_date,entry_price,status,exit_date,exit_price,quantity,net_pnl,net_return,signal_score,original_rank,model_version,monthly_score,weekly_score,daily_score,reason
CALX,2025-01-06,2025-01-07,36.88,closed,2025-02-05,42.1887,271.0,1417.2300822999978,0.1418012825379607,36.4583,1,cr056-policy-2.0.0-candidate,12.5,56.25,68.75,target
JKS,2025-01-07,2025-01-08,23.325100268096513,closed,2025-01-10,21.078125,428.0,-980.7099951600526,-0.0982365977864069,37.7604,1,cr056-policy-2.0.0-candidate,31.25,31.25,70.3125,stop
GH,2025-01-07,2025-01-08,36.35,closed,2025-01-21,43.62,275.0,1977.25825,0.1978,29.1667,2,cr056-policy-2.0.0-candidate,37.5,9.375,43.75,target
BBIO,2025-01-07,2025-01-08,28.66,closed,2025-01-13,32.14255,348.0,1190.7681126000004,0.11939104849965113,24.4792,3,cr056-policy-2.0.0-candidate,6.25,39.0625,50.0,target
KEYS,2025-01-08,2025-01-10,162.12,closed,2025-01-31,174.12502,61.0,711.7952737800003,0.07197615951147301,33.8542,1,cr056-policy-2.0.0-candidate,37.5,14.0625,62.5,target
RMBS,2025-01-08,2025-01-10,55.96,closed,2025-01-21,62.51341,178.0,1145.4187130199982,0.11499171890636149,27.0833,2,cr056-policy-2.0.0-candidate,25.0,18.75,50.0,target
NTES,2025-01-14,2025-01-15,95.6505989222479,closed,2025-03-13,100.5234,104.0,486.36921619830525,0.04889281542953408,31.25,1,cr056-policy-2.0.0-candidate,25.0,28.125,56.25,time_40d
AEIS,2025-01-15,2025-01-16,121.3414432558917,closed,2025-01-27,111.562775,82.0,-820.9489428801038,-0.08250744515239229,31.7708,1,cr056-policy-2.0.0-candidate,37.5,9.375,59.375,stop
BMO,2025-01-15,2025-01-16,92.62582324596774,closed,2025-03-14,91.6919,107.0,-119.65178370586638,-0.01207266969432722,31.25,2,cr056-policy-2.0.0-candidate,31.25,18.75,56.25,time_40d
SSRM,2025-01-16,2025-01-17,7.642771653543307,closed,2025-02-05,9.171326,1308.0,1977.3562454345204,0.1978000020584527,34.8958,1,cr056-policy-2.0.0-candidate,37.5,25.0,46.875,target
BILL,2025-01-17,2025-01-21,89.6,closed,2025-02-07,64.88,111.0,-2761.0672799999993,-0.27761696428571425,36.9792,1,cr056-policy-2.0.0-candidate,56.25,14.0625,25.0,stop_gap
ZD,2025-01-21,2025-01-22,55.12,closed,2025-02-03,51.809295,181.0,-618.5918073950003,-0.062003524945573325,45.3125,1,cr056-policy-2.0.0-candidate,50.0,32.8125,56.25,stop
LSCC,2025-01-21,2025-01-22,59.8,closed,2025-01-27,55.472115,167.0,-742.0072382049993,-0.07430028620401331,36.9792,2,cr056-policy-2.0.0-candidate,37.5,32.8125,43.75,stop
MYRG,2025-01-21,2025-01-22,155.25,closed,2025-01-27,141.83519,64.0,-877.5612921599993,-0.08832138608695646,22.9167,3,cr056-policy-2.0.0-candidate,25.0,9.375,43.75,stop
EPAM,2025-01-22,2025-01-23,236.0,skipped,,,,,,43.75,1,cr056-policy-2.0.0-candidate,37.5,37.5,75.0,position_limit
ESTC,2025-01-22,2025-01-23,100.82,skipped,,,,,,41.1458,2,cr056-policy-2.0.0-candidate,50.0,23.4375,50.0,position_limit
SONY,2025-01-23,2025-01-24,19.95580440893301,skipped,,,,,,15.625,1,cr056-policy-2.0.0-candidate,12.5,9.375,37.5,position_limit
DIS,2025-01-24,2025-01-27,109.61844277395448,skipped,,,,,,41.6667,1,cr056-policy-2.0.0-candidate,50.0,18.75,62.5,position_limit
EQNR,2025-02-11,2025-02-12,21.548469273743017,closed,2025-02-12,20.94883,464.0,-297.9513698797768,-0.029799637499040774,41.6667,1,cr056-policy-2.0.0-candidate,25.0,46.875,81.25,stop
CRNC,2025-02-11,2025-02-12,14.34,closed,2025-02-20,12.906,697.0,-1018.4884619999997,-0.10189999999999998,28.6458,2,cr056-policy-2.0.0-candidate,31.25,23.4375,31.25,stop
NVST,2025-02-13,2025-02-14,21.58,closed,2025-02-28,19.724755,463.0,-878.102536564999,-0.08788460403151056,29.6875,1,cr056-policy-2.0.0-candidate,12.5,45.3125,50.0,stop
QLYS,2025-02-14,2025-02-18,143.22,closed,2025-02-24,134.98968,69.0,-587.0885479200014,-0.05940880938416436,52.6042,1,cr056-policy-2.0.0-candidate,50.0,51.5625,62.5,stop
CSGP,2025-02-20,2025-02-21,78.33,closed,2025-04-04,73.061935,127.0,-688.2710307449988,-0.06918750076598992,37.3698,1,cr056-policy-2.0.0-candidate,25.0,43.359375,62.5,stop
RGEN,2025-02-24,2025-02-25,164.14,closed,2025-03-04,148.792135,60.0,-939.6478281000001,-0.09541121685756063,29.1667,1,cr056-policy-2.0.0-candidate,18.75,28.125,62.5,stop
DQ,2025-02-26,2025-02-27,21.465,closed,2025-02-28,20.406095,465.0,-511.8608841750004,-0.05128237106918243,26.0417,1,cr056-policy-2.0.0-candidate,25.0,18.75,43.75,stop
VLO,2025-03-17,2025-03-18,129.13621255775203,closed,2025-04-03,119.89209,77.0,-730.9726162438553,-0.07351269386241525,35.4167,1,cr056-policy-2.0.0-candidate,31.25,28.125,62.5,stop
CACC,2025-03-18,2025-03-19,489.49,closed,2025-04-04,460.788475,20.0,-593.0360694999989,-0.06057693410488457,49.4792,1,cr056-policy-2.0.0-candidate,50.0,42.1875,62.5,stop
NTR,2025-03-18,2025-03-19,49.299696962750716,closed,2025-04-04,46.065595,202.0,-672.5523854521199,-0.06753524787848299,43.2292,2,cr056-policy-2.0.0-candidate,43.75,32.8125,62.5,stop
ZS,2025-03-18,2025-03-19,199.5657,closed,2025-04-03,189.228125,50.0,-536.3184412499999,-0.05374855912113152,22.3958,3,cr056-policy-2.0.0-candidate,12.5,14.0625,68.75,stop
DLB,2025-03-19,2025-03-20,79.3118,closed,2025-04-03,75.43,126.0,-508.6042667999996,-0.05089459323833272,21.875,1,cr056-policy-2.0.0-candidate,12.5,28.125,37.5,stop
STLD,2025-03-20,2025-03-21,121.77117975055026,closed,2025-04-03,117.87068,82.0,-339.4916120446677,-0.03399935533828247,32.5521,1,cr056-policy-2.0.0-candidate,26.5625,32.8125,50.0,stop
DPZ,2025-03-21,2025-03-24,457.88440297828504,closed,2025-04-04,423.70722,21.0,-736.2342666265298,-0.07656686791082065,26.3021,1,cr056-policy-2.0.0-candidate,32.8125,4.6875,50.0,stop
PINS,2025-03-25,2025-03-26,34.48,closed,2025-03-27,32.112755,290.0,-705.8129489499989,-0.07058694185034793,35.6771,1,cr056-policy-2.0.0-candidate,32.8125,32.8125,50.0,stop
KDP,2025-03-26,2025-03-27,32.625802510216,skipped,,,,,,55.2083,1,cr056-policy-2.0.0-candidate,43.75,68.75,62.5,cash_or_whole_share_insufficient
