complete,days,excess_median,filled,filled_within,mae_median,method,mfe_median,missed_no_fill,missed_prior_high,paired_excess,paired_excess_ci95,paired_mae,paired_mae_ci95,paired_mfe,paired_mfe_ci95,paired_n,paired_return,paired_return_ci95,paired_symbols,period,return_mean,return_median,sample_warning,setups,statuses,target_available,timeframe,wait_mean,wait_median,waiting_end_return_median,waiting_mfe_median,win_rate
277,30,0.011552939459696265,277,"{""20"": 277, ""30"": 277, ""60"": 277}",-0.06467870166914003,direct,0.08642418899399806,1,1,0.0,,0.0,,0.0,,277,0.0,,237,2005-2009,0.03028156041352506,0.03145390928222502,False,281,"{""filled"": 277, ""gap_invalidated"": 4}",167,daily,1,1,0.0,0,0.5992779783393501
78,30,0.020083649569788697,78,"{""20"": 78, ""30"": 78, ""60"": 78}",-0.03866305051210667,direct,0.06878187158756366,0,2,0.0,,0.0,,0.0,,78,0.0,,69,2010-2014,0.02848476890964486,0.03506944616376073,False,78,"{""filled"": 78}",57,daily,1,1.0,0.0,0.0,0.6538461538461539
90,30,-0.025020202951973047,90,"{""20"": 90, ""30"": 90, ""60"": 90}",-0.0686122808473501,direct,0.0635653786175856,0,1,0.0,,0.0,,0.0,,90,0.0,,80,2015-2019,-0.00028589652954060673,0.012394248427208043,False,90,"{""filled"": 90}",60,daily,1,1.0,0.0,0.0,0.5555555555555556
192,30,0.01567709145846463,192,"{""20"": 192, ""30"": 192, ""60"": 192}",-0.06445246648756564,direct,0.09870813942750234,0,1,0.0,,0.0,,0.0,,192,0.0,,171,2020-2025,0.04218805160915597,0.03858901476710763,False,192,"{""filled"": 192}",118,daily,1,1.0,0.0,0.0,0.6197916666666666
281,5,0.0023125607494458578,281,"{""20"": 200, ""30"": 227, ""60"": 280}",-0.02458681891958525,breakout,0.02656043833723576,132,176,0.0,"[0.0, 0.0]",0.0,"[-0.0005482961892996352, 0.0]",0.0,"[0.0, 0.0]",281,0.0,"[0.0, 0.0]",251,all,0.0023147139164860307,-0.0005455537370430141,False,641,"{""filled"": 281, ""waiting_censored"": 157, ""invalidated"": 203}",402,daily,14.804270462633452,6,0.020239040570629863,0.06265060240963871,0.49110320284697506
120,5,0.0015638085621868525,120,"{""20"": 90, ""30"": 97, ""60"": 119}",-0.027867292965893464,breakout,0.029555370135454062,61,79,0.0,,0.0,,0.0,,120,0.0,,113,2005-2009,0.0023282022176490708,-0.001761717356175696,False,281,"{""filled"": 120, ""waiting_censored"": 76, ""invalidated"": 85}",167,daily,14.208333333333334,6.0,0.021325496446347847,0.0688638799571275,0.475
37,5,0.005438680236760307,37,"{""20"": 26, ""30"": 31, ""60"": 37}",-0.015364302004561403,breakout,0.02558553411904274,13,19,0.0,,0.0,,0.0,,37,-0.0018030082229143485,,34,2010-2014,0.0094216623551778,0.004609849674232391,False,78,"{""filled"": 37, ""invalidated"": 28, ""waiting_censored"": 13}",57,daily,12.432432432432432,3,0.017055337607213894,0.04523285873988925,0.6216216216216216
43,5,-0.0033950628165639873,43,"{""20"": 32, ""30"": 35, ""60"": 43}",-0.031483416727359215,breakout,0.01859570375120234,15,21,0.0,,0.0,,0.0,,43,0.0,,42,2015-2019,0.004776541476505442,-0.006966211275585499,False,90,"{""invalidated"": 35, ""filled"": 43, ""waiting_censored"": 12}",60,daily,13.55813953488372,5,0.00412034328412525,0.039351618634567376,0.37209302325581395
81,5,0.0017268935705079258,81,"{""20"": 52, ""30"": 64, ""60"": 81}",-0.024919424573539684,breakout,0.03200000000000003,43,57,0.0,,0.0,,0.0,,81,0.0,,76,2020-2025,-0.0022585487187237836,0.002626197187010737,False,192,"{""filled"": 81, ""waiting_censored"": 56, ""invalidated"": 55}",118,daily,17.432098765432098,11,0.03541511653568552,0.0911504726385779,0.5185185185185185
281,10,0.005184824459623982,281,"{""20"": 200, ""30"": 227, ""60"": 280}",-0.03529595710517974,breakout,0.04457914814347341,132,176,0.0,"[0.0, 0.0]",0.0,"[-0.0006139171441513769, 0.0]",0.0,"[0.0, 0.0]",281,0.0,"[0.0, 0.0]",251,all,0.014299378816995114,0.007067137809187329,False,641,"{""filled"": 281, ""waiting_censored"": 157, ""invalidated"": 203}",402,daily,14.804270462633452,6,0.020239040570629863,0.06265060240963871,0.5480427046263345
120,10,0.0011778092207838098,120,"{""20"": 90, ""30"": 97, ""60"": 119}",-0.041842891805931426,breakout,0.04463520175157787,61,79,0.0,,-2.0263415694832254e-05,,0.0,,120,0.0,,113,2005-2009,0.006514448830352954,0.0008799918942602458,False,281,"{""filled"": 120, ""waiting_censored"": 76, ""invalidated"": 85}",167,daily,14.208333333333334,6.0,0.021325496446347847,0.0688638799571275,0.525
37,10,0.007555227643303741,37,"{""20"": 26, ""30"": 31, ""60"": 37}",-0.019722441629964282,breakout,0.04804469273743028,13,19,0.0,,0.0,,0.0,,37,0.0,,34,2010-2014,0.028394152103574433,0.022556424934545127,False,78,"{""filled"": 37, ""invalidated"": 28, ""waiting_censored"": 13}",57,daily,12.432432432432432,3,0.017055337607213894,0.04523285873988925,0.6756756756756757
43,10,0.0035100680744075685,43,"{""20"": 32, ""30"": 35, ""60"": 43}",-0.03601694915254239,breakout,0.03284593074580733,15,21,0.0,,0.0,,0.0,,43,0.0,,42,2015-2019,0.013661722298557976,-8.473140145726088e-05,False,90,"{""invalidated"": 35, ""filled"": 43, ""waiting_censored"": 12}",60,daily,13.55813953488372,5,0.00412034328412525,0.039351618634567376,0.4883720930232558
81,10,0.00845998375199708,81,"{""20"": 52, ""30"": 64, ""60"": 81}",-0.03940479470928615,breakout,0.04930034824885987,43,57,0.0,,0.0,,0.0,,81,0.0,,76,2020-2025,0.019732764213123772,0.014497222580549307,False,192,"{""filled"": 81, ""waiting_censored"": 56, ""invalidated"": 55}",118,daily,17.432098765432098,11,0.03541511653568552,0.0911504726385779,0.5555555555555556
281,20,0.0031256567997666185,281,"{""20"": 200, ""30"": 227, ""60"": 280}",-0.047741935483870956,breakout,0.06666292973587784,132,176,0.0,"[0.0, 0.0]",0.0,"[-0.0006260894658682292, 0.0]",0.0,"[0.0, 0.0]",281,0.0,"[-0.00289474818417651, 0.0]",251,all,0.022998129515438923,0.021139691082836087,False,641,"{""filled"": 281, ""waiting_censored"": 157, ""invalidated"": 203}",402,daily,14.804270462633452,6,0.020239040570629863,0.06265060240963871,0.6014234875444839
120,20,-0.001932677112728487,120,"{""20"": 90, ""30"": 97, ""60"": 119}",-0.05559592064516239,breakout,0.058975222751480594,61,79,0.0,,0.0,,0.0,,120,0.0,,113,2005-2009,0.017200790493587588,0.009810866293152087,False,281,"{""filled"": 120, ""waiting_censored"": 76, ""invalidated"": 85}",167,daily,14.208333333333334,6.0,0.021325496446347847,0.0688638799571275,0.55
37,20,0.028770618748945376,37,"{""20"": 26, ""30"": 31, ""60"": 37}",-0.02331027142096853,breakout,0.07007165980448482,13,19,0.0,,0.0,,0.0,,37,-0.005927245541272219,,34,2010-2014,0.042426384825108555,0.0448403617747295,False,78,"{""filled"": 37, ""invalidated"": 28, ""waiting_censored"": 13}",57,daily,12.432432432432432,3,0.017055337607213894,0.04523285873988925,0.7567567567567568
43,20,-0.0012154119312826062,43,"{""20"": 32, ""30"": 35, ""60"": 43}",-0.040014231062213024,breakout,0.04810661318490217,15,21,0.0,,0.0,,0.0,,43,0.0,,42,2015-2019,0.0166125564600027,0.025410808078237146,False,90,"{""invalidated"": 35, ""filled"": 43, ""waiting_censored"": 12}",60,daily,13.55813953488372,5,0.00412034328412525,0.039351618634567376,0.5581395348837209
81,20,-0.0009140647740375485,81,"{""20"": 52, ""30"": 64, ""60"": 81}",-0.05070357027373429,breakout,0.08538721500271995,43,57,0.0,,0.0,,0.0,,81,-0.0002547535982362348,,76,2020-2025,0.026102016892576473,0.03149065579313537,False,192,"{""filled"": 81, ""waiting_censored"": 56, ""invalidated"": 55}",118,daily,17.432098765432098,11,0.03541511653568552,0.0911504726385779,0.6296296296296297
281,30,0.007983450838736639,281,"{""20"": 200, ""30"": 227, ""60"": 280}",-0.059030279680572506,breakout,0.0897856670499011,132,176,0.0,"[-0.0006184977306127326, 0.0]",0.0,"[-0.003394546021299072, 0.0]",0.0,"[-0.002399885683410874, 0.0]",281,0.0,"[-0.005039780678198769, 0.0]",251,all,0.028363923346855165,0.030020903135410837,False,641,"{""filled"": 281, ""waiting_censored"": 157, ""invalidated"": 203}",402,daily,14.804270462633452,6,0.020239040570629863,0.06265060240963871,0.597864768683274
120,30,0.009624631176331,120,"{""20"": 90, ""30"": 97, ""60"": 119}",-0.0693829235922625,breakout,0.07078911327224457,61,79,0.0,,-0.0005965532791532557,,0.0,,120,0.0,,113,2005-2009,0.026739000350661814,0.01766226117063252,False,281,"{""filled"": 120, ""waiting_censored"": 76, ""invalidated"": 85}",167,daily,14.208333333333334,6.0,0.021325496446347847,0.0688638799571275,0.5583333333333333
37,30,0.0456686395039303,37,"{""20"": 26, ""30"": 31, ""60"": 37}",-0.02458681891958525,breakout,0.11065772962991516,13,19,0.0,,0.0,,0.0,,37,0.0,,34,2010-2014,0.04538505556872674,0.06419186002076249,False,78,"{""filled"": 37, ""invalidated"": 28, ""waiting_censored"": 13}",57,daily,12.432432432432432,3,0.017055337607213894,0.04523285873988925,0.7297297297297297
43,30,0.007983450838736639,43,"{""20"": 32, ""30"": 35, ""60"": 43}",-0.04990574396837577,breakout,0.06514116610671761,15,21,0.0,,0.0,,0.0,,43,-0.0011337385442700132,,42,2015-2019,0.028425267417881997,0.02427404094566965,False,90,"{""invalidated"": 35, ""filled"": 43, ""waiting_censored"": 12}",60,daily,13.55813953488372,5,0.00412034328412525,0.039351618634567376,0.6511627906976745
81,30,-0.011243756019268858,81,"{""20"": 52, ""30"": 64, ""60"": 81}",-0.06630617960950269,breakout,0.1027253668763104,43,57,0.0,,0.0,,0.0,,81,-0.0007107235547110236,,76,2020-2025,0.022963566214507024,0.02744703776703772,False,192,"{""filled"": 81, ""waiting_censored"": 56, ""invalidated"": 55}",118,daily,17.432098765432098,11,0.03541511653568552,0.0911504726385779,0.5679012345679012
451,5,-0.0015136785937454045,451,"{""20"": 332, ""30"": 380, ""60"": 450}",-0.026666666666666616,support,0.027150169243376876,86,182,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",451,0.0,"[0.0, 0.0]",374,all,0.0008283666759404758,0.00221988550064256,False,641,"{""filled"": 451, ""invalidated"": 124, ""waiting_censored"": 63, ""gap_invalidated"": 3}",402,daily,13.58980044345898,7,0.0,0.041599430808230586,0.516629711751663
213,5,-0.0028916044787431483,213,"{""20"": 155, ""30"": 179, ""60"": 213}",-0.02721958644838396,support,0.027984585690446595,29,75,0.0,,0.0,,0.0,,213,0.0,,192,2005-2009,0.0018682664484404017,0.0011596450822735083,False,281,"{""filled"": 213, ""waiting_censored"": 21, ""invalidated"": 44, ""gap_invalidated"": 3}",167,daily,13.300469483568076,6,0.0,0.03108586677862668,0.5070422535211268
53,5,0.002975712664974095,53,"{""20"": 38, ""30"": 42, ""60"": 53}",-0.016641452344931973,support,0.025239837064914505,15,27,0.0,,0.0,,0.0,,53,0.0,,49,2010-2014,0.005864320935920384,0.010667479427003856,False,78,"{""filled"": 53, ""invalidated"": 17, ""waiting_censored"": 8}",57,daily,14.69811320754717,8,0.0,0.039562426015543606,0.6226415094339622
49,5,-0.001432963649409924,49,"{""20"": 40, ""30"": 45, ""60"": 49}",-0.022389383718110722,support,0.028095238095238173,16,22,0.0,,0.0,,0,,49,0.0,,47,2015-2019,0.006808977411814084,0.005207424679594785,False,90,"{""invalidated"": 32, ""filled"": 49, ""waiting_censored"": 9}",60,daily,10.10204081632653,7,0.0,0.03382482584303492,0.5306122448979592
136,5,-0.005609390209723786,136,"{""20"": 99, ""30"": 114, ""60"": 135}",-0.03152047766187965,support,0.025024484751997256,26,58,0.0,,0.0,,0.0,,136,0.0,,122,2020-2025,-0.004917619745965599,-0.0009431999537737878,False,192,"{""filled"": 136, ""invalidated"": 31, ""waiting_censored"": 25}",118,daily,14.867647058823529,10.0,0.0,0.06489665776075015,0.4852941176470588
451,10,5.918969971041577e-06,451,"{""20"": 332, ""30"": 380, ""60"": 450}",-0.040250102003683175,support,0.040891262432495745,86,182,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",451,0.0,"[0.0, 0.0]",374,all,0.009507731583206632,0.007415195227084892,False,641,"{""filled"": 451, ""invalidated"": 124, ""waiting_censored"": 63, ""gap_invalidated"": 3}",402,daily,13.58980044345898,7,0.0,0.041599430808230586,0.5454545454545454
213,10,0.0017049429715960684,213,"{""20"": 155, ""30"": 179, ""60"": 213}",-0.043021680216802194,support,0.041801852299999886,29,75,0.0,,0.0,,0.0,,213,0.0,,192,2005-2009,0.006751231773498018,0.007336121449224242,False,281,"{""filled"": 213, ""waiting_censored"": 21, ""invalidated"": 44, ""gap_invalidated"": 3}",167,daily,13.300469483568076,6,0.0,0.03108586677862668,0.5352112676056338
53,10,0.000960609716788352,53,"{""20"": 38, ""30"": 42, ""60"": 53}",-0.028091189800138694,support,0.04176397856848468,15,27,0.0,,0.0,,0.0,,53,0.0,,49,2010-2014,0.004283321996360618,0.012560788519487609,False,78,"{""filled"": 53, ""invalidated"": 17, ""waiting_censored"": 8}",57,daily,14.69811320754717,8,0.0,0.039562426015543606,0.6037735849056604
49,10,0.0032852519499092514,49,"{""20"": 40, ""30"": 45, ""60"": 49}",-0.02834113364534596,support,0.036744109408469505,16,22,0.0,,0.0,,0,,49,0.0,,47,2015-2019,0.025094487153535155,0.001541690675463947,False,90,"{""invalidated"": 32, ""filled"": 49, ""waiting_censored"": 9}",60,daily,10.10204081632653,7,0.0,0.03382482584303492,0.5306122448979592
136,10,-0.010260357002874199,136,"{""20"": 99, ""30"": 114, ""60"": 135}",-0.04986524473190196,support,0.04132237707267028,26,58,0.0,,0.0,,0.0,,136,0.0,,122,2020-2025,0.01024506352897631,0.007557212935748514,False,192,"{""filled"": 136, ""invalidated"": 31, ""waiting_censored"": 25}",118,daily,14.867647058823529,10.0,0.0,0.06489665776075015,0.5441176470588235
451,20,0.0004183321410691221,451,"{""20"": 332, ""30"": 380, ""60"": 450}",-0.05375055154175168,support,0.06488966344910674,86,182,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",451,0.0,"[0.0, 0.0]",374,all,0.019361967994924532,0.014912121761188724,False,641,"{""filled"": 451, ""invalidated"": 124, ""waiting_censored"": 63, ""gap_invalidated"": 3}",402,daily,13.58980044345898,7,0.0,0.041599430808230586,0.5698447893569845
213,20,0.0009090713551562768,213,"{""20"": 155, ""30"": 179, ""60"": 213}",-0.05818181818181822,support,0.06851075827636799,29,75,0.0,,0.0,,0.0,,213,0.0,,192,2005-2009,0.018854004003322048,0.016156578223990525,False,281,"{""filled"": 213, ""waiting_censored"": 21, ""invalidated"": 44, ""gap_invalidated"": 3}",167,daily,13.300469483568076,6,0.0,0.03108586677862668,0.5727699530516432
